,,,,,,"ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)",CV,CV
,,,,,,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,WCV,pval
parc,measure,connections,metric,stat,map,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaefer100,pearson,all,original,auc,NMDA,0.46770711526566683,2.7495754036277935,111,111,9.484425502296483e-08,[0.31 0.6 ],0.6373303098431978,2.7495754036277935,111,111,9.484425502296483e-08,[0.47 0.75],0.46660627278892497,2.7495754036277935,111,111,9.484425502296483e-08,[0.31 0.6 ],0.6363074827187505,2.7495754036277935,111,111,9.484425502296483e-08,[0.47 0.75],0.36526225173824145,0.001
Schaefer100,pearson,all,original,auc,SV2A,0.44291105367533323,2.5899176834618562,111,111,4.505619690443267e-07,[0.28 0.58],0.6139131757943991,2.5899176834618562,111,111,4.505619690443267e-07,[0.44 0.73],0.44288416160246175,2.5899176834618562,111,111,4.505619690443267e-07,[0.28 0.58],0.6138873422944726,2.5899176834618562,111,111,4.505619690443267e-07,[0.44 0.73],0.2435715951500889,0.001
Schaefer100,pearson,all,original,auc,VAChT,0.6174834063266922,4.557618508093193,111,111,1.1409447794549972e-14,[0.47 0.73],0.7635112717836138,4.557618508093193,111,111,1.1409447794549972e-14,[0.64 0.84],0.6401336297035265,4.557618508093193,111,111,1.1409447794549972e-14,[0.52 0.74],0.7805871644973686,4.557618508093193,111,111,1.1409447794549972e-14,[0.68 0.85],0.17323143931679513,0.001
Schaefer100,pearson,all,original,auc,VMAT2,0.5736037925424197,3.9660799281801937,111,111,1.4464133358557806e-12,[0.42 0.69],0.729032041306493,3.9660799281801937,111,111,1.4464133358557806e-12,[0.59 0.82],0.5972678593731586,3.9660799281801937,111,111,1.4464133358557806e-12,[0.46 0.7 ],0.7478618640802727,3.9660799281801937,111,111,1.4464133358557806e-12,[0.63 0.83],0.28097468579321044,0.001
Schaefer100,pearson,all,inverted,auc,5HT1a,0.6237141171482489,4.287228072602765,111,111,9.990411606872985e-14,[0.5  0.73],0.7682560748362358,4.287228072602765,111,111,9.990411606872985e-14,[0.66 0.84],0.6217299551794345,4.287228072602765,111,111,9.990411606872985e-14,[0.49 0.72],0.7667490548519145,4.287228072602765,111,111,9.990411606872985e-14,[0.66 0.84],0.14183610280018516,0.001
Schaefer100,pearson,all,inverted,auc,5HT1b,0.6506830293509959,4.734026799920284,111,111,2.877953868292258e-15,[0.53 0.75],0.7883803465367023,4.734026799920284,111,111,2.877953868292258e-15,[0.69 0.85],0.6512049786673817,4.734026799920284,111,111,2.877953868292258e-15,[0.53 0.75],0.7887633420206157,4.734026799920284,111,111,2.877953868292258e-15,[0.69 0.85],0.18186278790755991,0.001
Schaefer100,pearson,all,inverted,auc,5HT2a,0.5864002241961243,3.94816967894009,111,111,1.6841599391683927e-12,[0.45 0.7 ],0.7392840914319343,3.94816967894009,111,111,1.6841599391683927e-12,[0.62 0.82],0.5958101419779112,3.94816967894009,111,111,1.6841599391683927e-12,[0.46 0.7 ],0.7467180791813244,3.94816967894009,111,111,1.6841599391683927e-12,[0.63 0.83],0.18521103784607837,0.001
Schaefer100,pearson,all,inverted,auc,5HT4,0.6362974418491033,4.6366296765118795,111,111,6.134150322357714e-15,[0.51 0.74],0.7777283341958334,4.6366296765118795,111,111,6.134150322357714e-15,[0.68 0.85],0.6451780381574294,4.6366296765118795,111,111,6.134150322357714e-15,[0.52 0.74],0.7843261011191439,4.6366296765118795,111,111,6.134150322357714e-15,[0.69 0.85],0.16949607716282658,0.001
Schaefer100,pearson,all,inverted,auc,5HT6,0.5700860488584616,3.695972174600555,111,111,1.4877196163842548e-11,[0.43 0.68],0.7261844652055157,3.695972174600555,111,111,1.4877196163842548e-11,[0.6  0.81],0.5741030982215898,3.695972174600555,111,111,1.4877196163842548e-11,[0.44 0.69],0.7294351924854315,3.695972174600555,111,111,1.4877196163842548e-11,[0.61 0.81],0.18691773420744454,0.001
Schaefer100,pearson,all,inverted,auc,5HTT,0.5355157463966063,3.2956151672803022,111,111,5.42306728767585e-10,[0.39 0.66],0.6975060303397094,3.2956151672803022,111,111,5.42306728767585e-10,[0.56 0.79],0.5344089444431618,3.2956151672803022,111,111,5.42306728767585e-10,[0.39 0.65],0.6965665136123137,3.2956151672803022,111,111,5.42306728767585e-10,[0.56 0.79],0.22032108953218651,0.001
