metric,map,fqband,rho,p
inverted,NMDA,beta,0.3290640394088669,0.0813279351390293
inverted,NMDA,lgamma,-0.16059113300492608,0.40530153423881365
inverted,NMDA,hgamma,-0.14926108374384234,0.4396508913693242
inverted,GABAa,delta,0.15024630541871917,0.4366029616223077
inverted,GABAa,theta,-0.12068965517241378,0.5328698744250626
inverted,GABAa,alpha,-0.22463054187192114,0.24139457634527825
inverted,GABAa,beta,0.23152709359605908,0.2268657828258927
inverted,GABAa,lgamma,-0.07438423645320195,0.7013614306645616
inverted,GABAa,hgamma,-0.19408866995073887,0.31304218921480326
inverted,GABAa5,delta,0.24630541871921177,0.19774534597208415
inverted,GABAa5,theta,-0.05566502463054186,0.7742640809900436
inverted,GABAa5,alpha,-0.031034482758620686,0.8730287007942092
inverted,GABAa5,beta,0.13743842364532016,0.477110781256181
inverted,GABAa5,lgamma,-0.08719211822660097,0.6528920072716873
inverted,GABAa5,hgamma,-0.2118226600985221,0.269983822509751
inverted,NET,delta,-0.1339901477832512,0.4883382225851124
inverted,NET,theta,0.17487684729064035,0.3642293473635895
inverted,NET,alpha,-0.014778325123152707,0.9393498687559616
inverted,NET,beta,-0.14679802955665022,0.4473208707236457
inverted,NET,lgamma,-0.13891625615763545,0.47234016674594914
inverted,NET,hgamma,-0.12463054187192114,0.5194764063005015
inverted,A4B2,delta,0.0921182266009852,0.6345990363023872
inverted,A4B2,theta,0.0014778325123152706,0.9939295221196491
inverted,A4B2,alpha,0.05221674876847289,0.7879218626850963
inverted,A4B2,beta,0.3763546798029556,0.0441931128623803
inverted,A4B2,lgamma,0.08472906403940884,0.662113699345471
inverted,A4B2,hgamma,-0.04236453201970442,0.8272713891402577
inverted,M1,delta,0.15615763546798028,0.4185584651784069
inverted,M1,theta,-0.04088669950738915,0.8332117317373471
inverted,M1,alpha,-0.42019704433497523,0.023237317644193695
inverted,M1,beta,0.289655172413793,0.12748015207683205
inverted,M1,lgamma,-0.08226600985221673,0.6713839787887794
inverted,M1,hgamma,-0.1886699507389162,0.3270037129469253
inverted,VAChT,delta,0.10246305418719209,0.5968716261640159
inverted,VAChT,theta,-0.28275862068965507,0.13721430216343847
inverted,VAChT,alpha,-0.07438423645320195,0.7013614306645616
inverted,VAChT,beta,-0.030541871921182254,0.8750283652137651
inverted,VAChT,lgamma,0.002955665024630541,0.9878593756762406
inverted,VAChT,hgamma,-0.023152709359605905,0.905107008990093
inverted,FDOPA,delta,0.1694581280788177,0.3795101465496067
inverted,FDOPA,theta,-0.0985221674876847,0.6111306061691774
inverted,FDOPA,alpha,-0.19359605911330044,0.31429588608050496
inverted,FDOPA,beta,0.26009852216748763,0.17299282581121356
inverted,FDOPA,lgamma,-0.10591133004926105,0.5845135970990107
inverted,FDOPA,hgamma,-0.2157635467980295,0.26096364162004854
inverted,D1,delta,0.2753694581280787,0.1482318337004592
inverted,D1,theta,-0.030049261083743836,0.8770287826136492
inverted,D1,alpha,-0.2177339901477832,0.25652815944629687
inverted,D1,beta,0.2428571428571428,0.20429689292588715
inverted,D1,lgamma,-0.08029556650246304,0.678834388107278
inverted,D1,hgamma,-0.15123152709359602,0.4335665498523821
inverted,D23,delta,0.14926108374384234,0.4396508913693242
inverted,D23,theta,-0.13054187192118222,0.4996984985843257
inverted,D23,alpha,-0.4758620689655172,0.009074818278750582
inverted,D23,beta,0.17142857142857137,0.37391101590415354
inverted,D23,lgamma,-0.2467980295566502,0.19682138745185027
inverted,D23,hgamma,-0.28866995073891616,0.1288388121851059
inverted,DAT,delta,0.21280788177339893,0.26771010956847874
inverted,DAT,theta,-0.06354679802955664,0.74329859092808
inverted,DAT,alpha,-0.21034482758620687,0.2734177443471466
inverted,DAT,beta,0.30492610837438416,0.10774355319454677
inverted,DAT,lgamma,-0.2679802955665024,0.15987272746491207
inverted,DAT,hgamma,-0.26305418719211815,0.1679867324299598
inverted,5HT1a,delta,0.16059113300492608,0.40530153423881365
inverted,5HT1a,theta,-0.18916256157635464,0.3257189660095857
inverted,5HT1a,alpha,-0.10197044334975366,0.5986461703131429
inverted,5HT1a,beta,-0.0566502463054187,0.7703737389194727
inverted,5HT1a,lgamma,-0.3142857142857142,0.0968318296897271
