A,B,sub,rho,p
mri_inverted,meg-theta_inverted,sub-181232,-0.14384615384615382,0.49271954928907735
mri_inverted,meg-theta_inverted,sub-187547,0.6369230769230769,0.000617864916683015
mri_inverted,meg-theta_inverted,sub-189349,0.3038461538461538,0.1397766922185588
mri_inverted,meg-theta_inverted,sub-195041,0.42846153846153845,0.03260482391107621
mri_inverted,meg-theta_inverted,sub-198653,0.8330769230769232,2.3649189783420645e-07
mri_inverted,meg-theta_inverted,sub-212318,0.6223076923076922,0.0008946777270382536
mri_inverted,meg-theta_inverted,sub-212823,0.22230769230769232,0.2854893707641191
mri_inverted,meg-theta_inverted,sub-255639,0.6199999999999999,0.0009469550692005896
mri_inverted,meg-theta_inverted,sub-257845,0.24769230769230768,0.23256786876481428
mri_inverted,meg-theta_inverted,sub-287248,0.24,0.24786475636345956
mri_inverted,meg-theta_inverted,sub-353740,0.2915384615384616,0.15736225008219257
mri_inverted,meg-theta_inverted,sub-406836,0.6538461538461537,0.00039287395633571664
mri_inverted,meg-theta_inverted,sub-512835,0.6746153846153846,0.00021676993775872217
mri_inverted,meg-theta_inverted,sub-568963,0.7715384615384615,6.31291512840356e-06
mri_inverted,meg-theta_inverted,sub-599671,0.6484615384615384,0.00045509158358509233
mri_inverted,meg-theta_inverted,sub-725751,0.7061538461538461,7.997618571564303e-05
mri_inverted,meg-theta_inverted,sub-783462,0.5107692307692308,0.009078735844871143
mri_inverted,meg-theta_inverted,sub-825048,0.5030769230769231,0.01036660151118429
mri_inverted,meg-theta_inverted,sub-891667,0.5415384615384615,0.00517674554086912
mri_original,meg-theta_inverted,sub-102816,-0.2407692307692308,0.24630621673375477
mri_original,meg-theta_inverted,sub-106521,0.09615384615384616,0.6475146685503539
mri_original,meg-theta_inverted,sub-113922,0.13,0.5356794124214603
mri_original,meg-theta_inverted,sub-153732,-0.16846153846153847,0.4208415376807141
mri_original,meg-theta_inverted,sub-162935,0.02846153846153846,0.8925731044757399
mri_original,meg-theta_inverted,sub-164636,-0.25153846153846154,0.22515909919668434
mri_original,meg-theta_inverted,sub-172029,-0.10461538461538461,0.6187190398978742
mri_original,meg-theta_inverted,sub-175540,-0.02692307692307692,0.8983497047434486
mri_original,meg-theta_inverted,sub-177746,0.03,0.886801817790994
mri_original,meg-theta_inverted,sub-179245,-0.30769230769230765,0.1345826496160396
mri_original,meg-theta_inverted,sub-181232,0.2230769230769231,0.2837825101996973
mri_original,meg-theta_inverted,sub-187547,-0.47846153846153844,0.015545373390900938
mri_original,meg-theta_inverted,sub-189349,-0.014615384615384615,0.9447196857477185
mri_original,meg-theta_inverted,sub-195041,-0.42538461538461536,0.03401300109671608
mri_original,meg-theta_inverted,sub-198653,-0.4576923076923077,0.021416054925832997
mri_original,meg-theta_inverted,sub-212318,-0.3976923076923076,0.04898445560620918
mri_original,meg-theta_inverted,sub-212823,0.05846153846153846,0.7813348550958149
mri_original,meg-theta_inverted,sub-255639,-0.08230769230769232,0.6956981775319502
mri_original,meg-theta_inverted,sub-257845,-0.12230769230769231,0.5602813366901465
mri_original,meg-theta_inverted,sub-287248,0.07384615384615385,0.7257331056231732
mri_original,meg-theta_inverted,sub-353740,-0.14076923076923076,0.5021146784013018
mri_original,meg-theta_inverted,sub-406836,-0.42615384615384616,0.0336564947820886
mri_original,meg-theta_inverted,sub-512835,-0.563076923076923,0.0033832062926120415
mri_original,meg-theta_inverted,sub-568963,-0.4723076923076923,0.017127174630535404
mri_original,meg-theta_inverted,sub-599671,-0.5800000000000001,0.0023730756505841136
mri_original,meg-theta_inverted,sub-725751,-0.27999999999999997,0.1752183824122522
mri_original,meg-theta_inverted,sub-783462,-0.363076923076923,0.07444186246005678
mri_original,meg-theta_inverted,sub-825048,0.06692307692307692,0.7506056746243597
mri_original,meg-theta_inverted,sub-891667,-0.28538461538461535,0.16671794803141707
mri_inverted,meg-theta_original,sub-102816,-0.22153846153846157,0.28720269174260227
mri_inverted,meg-theta_original,sub-106521,0.015384615384615384,0.941814892951957
mri_inverted,meg-theta_original,sub-113922,0.008461538461538461,0.9679797010687115
mri_inverted,meg-theta_original,sub-153732,-0.27384615384615385,0.18529715169369645
mri_inverted,meg-theta_original,sub-162935,-0.15923076923076923,0.4470967473255907
mri_inverted,meg-theta_original,sub-164636,-0.44538461538461543,0.025669839943148847
mri_inverted,meg-theta_original,sub-172029,-0.4584615384615385,0.021170480845165648
mri_inverted,meg-theta_original,sub-175540,-0.42923076923076925,0.03226015868478607
mri_inverted,meg-theta_original,sub-177746,0.052307692307692305,0.8038880741031628
mri_inverted,meg-theta_original,sub-179245,-0.09461538461538462,0.6528051126847747
mri_inverted,meg-theta_original,sub-181232,0.24769230769230768,0.23256786876481428
mri_inverted,meg-theta_original,sub-187547,-0.33384615384615385,0.10289961467836549
mri_inverted,meg-theta_original,sub-189349,0.016923076923076923,0.9360075092301826
mri_inverted,meg-theta_original,sub-195041,-0.3653846153846153,0.07248196046410411
mri_inverted,meg-theta_original,sub-198653,-0.57,0.002932949611307605
mri_inverted,meg-theta_original,sub-212318,-0.5023076923076923,0.010503325012917598
mri_inverted,meg-theta_original,sub-212823,0.039999999999999994,0.8494374038786923
mri_inverted,meg-theta_original,sub-255639,-0.22384615384615386,0.28208211024105667
mri_inverted,meg-theta_original,sub-257845,0.11461538461538462,0.5853816553920668
mri_inverted,meg-theta_original,sub-287248,0.20615384615384616,0.3228240576300504
mri_inverted,meg-theta_original,sub-353740,0.1776923076923077,0.39545398689886
mri_inverted,meg-theta_original,sub-406836,-0.3769230769230769,0.06326742530511408
mri_inverted,meg-theta_original,sub-512835,-0.4576923076923077,0.021416054925832997
mri_inverted,meg-theta_original,sub-568963,-0.4015384615384615,0.04664167971380561
mri_inverted,meg-theta_original,sub-599671,-0.5707692307692307,0.0028862249955300826
mri_inverted,meg-theta_original,sub-725751,-0.4061538461538462,0.04394743829227769
mri_inverted,meg-theta_original,sub-783462,-0.08538461538461539,0.6848831681823175
mri_inverted,meg-theta_original,sub-825048,-0.18230769230769234,0.3830917730325135
mri_inverted,meg-theta_original,sub-891667,-0.27076923076923076,0.19048363370639726
meg-alpha_original,meg-alpha_inverted,sub-102816,-0.6499999999999999,0.0004364976132761443
meg-alpha_original,meg-alpha_inverted,sub-106521,-0.42153846153846153,0.03584093437956855
meg-alpha_original,meg-alpha_inverted,sub-113922,-0.6753846153846154,0.00021185997176665337
meg-alpha_original,meg-alpha_inverted,sub-153732,-0.793076923076923,2.2671857391655608e-06
meg-alpha_original,meg-alpha_inverted,sub-162935,-0.8661538461538462,2.2131356593292888e-08
meg-alpha_original,meg-alpha_inverted,sub-164636,-0.7053846153846153,8.206806844597019e-05
meg-alpha_original,meg-alpha_inverted,sub-172029,-0.7084615384615385,7.397926422789484e-05
meg-alpha_original,meg-alpha_inverted,sub-175540,-0.8776923076923077,8.324712082659743e-09
meg-alpha_original,meg-alpha_inverted,sub-177746,-0.6884615384615385,0.00014203286857710537
meg-alpha_original,meg-alpha_inverted,sub-179245,-0.4576923076923077,0.021416054925832997
meg-alpha_original,meg-alpha_inverted,sub-181232,-0.8592307692307692,3.8145976266422675e-08
meg-alpha_original,meg-alpha_inverted,sub-187547,-0.9253846153846155,3.602809817014594e-11
