parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,inverted,5HT1a,treat*session,True,7,98,-0.31634461211965736,1.1239491386403422,0.28906968863083693,0.9669354463892669
Schaefer200,inverted,5HT1b,treat,True,7,98,0.4318342391526592,1.2646847559897318,0.2607661894802254,0.9511588839843877
Schaefer200,inverted,5HT1b,session,True,7,98,0.4318342391526592,3.645703730370285,0.056214042668153934,0.439054914647552
Schaefer200,inverted,5HT1b,treat*session,True,7,98,0.4318342391526592,1.8716923615841983,0.17128137704935656,0.8470066698334073
Schaefer200,inverted,5HT2a,treat,True,7,98,0.31874396802166527,0.0003942561838869935,0.9841583365734592,1.0
Schaefer200,inverted,5HT2a,session,True,7,98,0.31874396802166527,0.11713835944183239,0.7321591356544994,0.9999980813924606
Schaefer200,inverted,5HT2a,treat*session,True,7,98,0.31874396802166527,1.1230781880434386,0.2892566046544031,0.9670222121803672
Schaefer200,inverted,5HT4,treat,True,7,98,-0.08853556542160515,0.3252234326135612,0.5684853336821506,0.9997747595052613
Schaefer200,inverted,5HT4,session,True,7,98,-0.08853556542160515,1.8554766889162582,0.1731477642303566,0.8504150904949828
Schaefer200,inverted,5HT4,treat*session,True,7,98,-0.08853556542160515,0.08935512962721677,0.7649985809637541,0.9999994807919709
