parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200,inverted,5HT1a,treat,True,9,152,,1.2293521853546676,0.5408160412182301,0.9995248456771271
Schaefer200,inverted,5HT1a,session,True,9,152,,0.8045761950902911,0.3697286746883116,0.9893079142759833
Schaefer200,inverted,5HT1a,treat*session,True,9,152,,1.288850183089971,0.5249642617603589,0.9993366445709873
Schaefer200,inverted,5HT1b,treat,True,9,152,,1.8519585927255624,0.396143287377563,0.9929812522199899
Schaefer200,inverted,5HT1b,session,True,9,152,,1.4496334920446963,0.22858677090910112,0.9220408538464466
Schaefer200,inverted,5HT1b,treat*session,True,9,152,,24.682888102098516,4.366957345149738e-06,4.293275348798975e-05
Schaefer200,inverted,5HT2a,treat,True,9,152,,6.340622417017566,0.0419905280602072,0.34409959374365195
Schaefer200,inverted,5HT2a,session,True,9,152,,0.025454855324837485,0.8732388944403588,0.9999999984828104
Schaefer200,inverted,5HT2a,treat*session,True,9,152,,23.19403451462698,9.193468632190276e-06,9.038158134522245e-05
Schaefer200,inverted,5HT4,treat,True,9,152,,5.061245661400809,0.07960942164987976,0.5576218667639283
Schaefer200,inverted,5HT4,session,True,9,152,,1.3928010240086655,0.23793264274935289,0.9308452479390661
Schaefer200,inverted,5HT4,treat*session,True,9,152,,3.0422340675921924,0.21846771478255306,0.91138411180876
Schaefer200,inverted,5HT6,treat,True,9,152,,5.628375988117907,0.059953381482169915,0.4554732427562489
Schaefer200,inverted,5HT6,session,True,9,152,,0.011535242631627503,0.9144698720784465,0.999999999968292
Schaefer200,inverted,5HT6,treat*session,True,9,152,,22.918591557163808,1.0550938142015028e-05,0.0001037263296391755
Schaefer200,inverted,5HTT,treat,True,9,152,,2.474710920661301,0.29015051879297804,0.9655850913457252
Schaefer200,inverted,5HTT,session,True,9,152,,0.3304009128339536,0.5654231113882563,0.9997235190095505
Schaefer200,inverted,5HTT,treat*session,True,9,152,,0.21526778227845417,0.8979562860115751,0.9999999998201468
Schaefer200,inverted,MOR,treat,True,9,152,,4.0502110783464955,0.13197991340182832,0.7513103372271857
Schaefer200,inverted,MOR,session,True,9,152,,0.00027448219530478715,0.9867816488935903,1.0
Schaefer200,inverted,MOR,treat*session,True,9,152,,2.918754781980989,0.2323809121483472,0.9257297654804788
Schaefer200,inverted,KOR,treat,True,9,152,,8.461182353202323,0.014543790058087753,0.13414404443852201
Schaefer200,inverted,KOR,session,True,9,152,,0.001215633478860456,0.9721866433866103,0.9999999999999994
Schaefer200,inverted,KOR,treat*session,True,9,152,,2.8387862361919893,0.24186075328116013,0.9342710809168503
Schaefer200,inverted,CB1,treat,True,9,152,,5.147304264495128,0.07625653728780862,0.5415208055429951
Schaefer200,inverted,CB1,session,True,9,152,,1.354820927293078,0.24443708074328188,0.9364343912775478
Schaefer200,inverted,CB1,treat*session,True,9,152,,0.3443333131078909,0.8418388635130925,0.9999999866346986
Schaefer200Subcortical,original,CMRglu,treat,True,9,152,,1.5787180804888385,0.4541357847777272,0.9990269918071737
Schaefer200Subcortical,original,CMRglu,session,True,9,152,,0.7319949489906044,0.3922373112126827,0.9966694280029791
Schaefer200Subcortical,original,CMRglu,treat*session,True,9,152,,2.1627263392934792,0.33913291471243867,0.991304817030465
Schaefer200Subcortical,original,SV2A,treat,True,9,152,,0.904728060382165,0.6361225597541547,0.999990658270512
Schaefer200Subcortical,original,SV2A,session,True,9,152,,0.052643201221466325,0.8185261239022414,0.9999999967701225
Schaefer200Subcortical,original,SV2A,treat*session,True,9,152,,0.6053718926644175,0.7388310925534443,0.9999997908688133
Schaefer200Subcortical,original,HDAC,treat,True,9,152,,1.2476438624359103,0.5358923748742919,0.9998483372172136
Schaefer200Subcortical,original,HDAC,session,True,9,152,,0.45026733107394273,0.5022080304382501,0.9996615714058622
Schaefer200Subcortical,original,HDAC,treat*session,True,9,152,,4.256682824743085,0.1190345594637221,0.7658659679452291
Schaefer200Subcortical,original,VMAT2,treat,True,9,152,,0.6319722303779489,0.729069573090593,0.9999996815944641
Schaefer200Subcortical,original,VMAT2,session,True,9,152,,0.003602609304146702,0.9521383196783447,0.9999999999999992
Schaefer200Subcortical,original,VMAT2,treat*session,True,9,152,,2.1064534263556647,0.348810420126438,0.9926567953696186
Schaefer200Subcortical,original,mGluR5,treat,True,9,152,,3.4195586044624657,0.1809057136990838,0.8983335045705779
Schaefer200Subcortical,original,mGluR5,session,True,9,152,,3.6083391107909306,0.05749050826736541,0.4925132693376708
Schaefer200Subcortical,original,mGluR5,treat*session,True,9,152,,2.952051084145,0.22854422510170205,0.948823878075359
Schaefer200Subcortical,original,NMDA,treat,True,9,152,,2.227510778921719,0.3283236597965193,0.9895288382314279
Schaefer200Subcortical,original,NMDA,session,True,9,152,,0.003645833936292091,0.9518523967758391,0.9999999999999992
Schaefer200Subcortical,original,NMDA,treat*session,True,9,152,,0.6730837325882578,0.7142359805365525,0.9999994136219488
Schaefer200Subcortical,original,GABAa,treat,True,9,152,,0.21886211361608013,0.8963439590455538,0.9999999999947163
Schaefer200Subcortical,original,GABAa,session,True,9,152,,0.056386605962980264,0.8123010017370429,0.9999999952467844
Schaefer200Subcortical,original,GABAa,treat*session,True,9,152,,1.584542788508861,0.4528151046813069,0.9989996799041151
Schaefer200Subcortical,original,GABAa5,treat,True,9,152,,0.07743493964704935,0.9620224711326203,1.0
Schaefer200Subcortical,original,GABAa5,session,True,9,152,,0.48815577044249403,0.48475112834983314,0.9994977158075826
Schaefer200Subcortical,original,GABAa5,treat*session,True,9,152,,2.562615119781796,0.27767398760936257,0.9759182253883779
Schaefer200Subcortical,original,NET,treat,True,9,152,,1.267378302051329,0.5306306092086104,0.9998274293667846
Schaefer200Subcortical,original,NET,session,True,9,152,,0.23471459400832081,0.6280498508759665,0.9999879885417461
Schaefer200Subcortical,original,NET,treat*session,True,9,152,,21.180422081920437,2.516110920737252e-05,0.00028820057438105895
