parc	metric	sample	between	dv	n	df_model	df_resid	F	p	pmeff	beta	np2	posthoc	covariates
Schaefer200	original	all	dx_apd_current	5HT6	151	2.0	144.0	10.764160922364852	4.398382131098621e-05	0.0004591298410023814	-0.68025164415854	0.13005823779766149		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	5HTT	151	2.0	144.0	2.849596420057629	0.06113619498290289	0.48245289981932804	-0.44087857028377786	0.038070965727932976		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	MOR	151	2.0	144.0	4.942304817251914	0.008395488167745347	0.08426240974197596	-0.5249811950588386	0.0642339065484266	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	KOR	151	2.0	144.0	2.7970023706513567	0.06430990133844766	0.5004303269767458	-0.362056315151045	0.037394578418945265		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_current	CB1	151	2.0	144.0	1.9152734818305353	0.15103520854169233	0.8190522631325861	-0.3452939963126097	0.025911741803963394		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	CMRglu	151	2.0	144.0	0.45100024005478717	0.6378873347274266	0.9999752265455427	-0.14531324287762265	0.00622490011953555		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	SV2A	151	2.0	144.0	1.4283148738113267	0.24308788173995804	0.9454065087567118	-0.40831767159004856	0.01945182694531295		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	HDAC	151	2.0	144.0	1.801374063947317	0.168771652859454	0.8548496109384229	-0.1437330833751457	0.024408408200997246		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	VMAT2	151	2.0	144.0	5.834056432946586	0.0036620466226844487	0.037580433890650244	-0.8524027090463254	0.07495506080905057	CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	mGluR5	151	2.0	144.0	3.8943492402377804	0.022535124374390415	0.21177819610943116	-0.6945733543787237	0.05131276938564313	CTRL > PSY_noAPD	sex, age, mean_fd, gc
